Shelter ID,Lat ,Long,Microsite
1,36.69363,-120.79318,Triangle
2,36.69364,-120.79331,Square
3,36.69355,-120.79315,Square
4,36.69349,-120.7932,Triangle
5,36.69349,-120.79311,Triangle
6,36.39342,-120.79311,Square
7,36.69394,-120.793,Square
8,36.69397,-120.79292,Triangle
9,36.69401,-120.79282,Square
10,36.694,-120.79295,Triangle
11,36.69405,-120.79305,Square
12,36.69408,-120.79301,Triangle
1,36.69534,-120.79703,Shrub
2,36.69532,-120.79715,Shrub
3,36.69534,-120.79722,Shrub
4,36.69606,-120.79667,Shrub
5,36.69593,-120.79674,Shrub
6,36.69596,-120.79676,Shrub
7,36.69589,-120.79803,Shrub
1,36.69529,-120.79697,Open
2,36.69533,-120.79709,Open
3,36.69529,-120.7923,Open
4,36.69596,-120.79659,Open
5,36.69587,-120.79674,Open
6,36.69601,-120.79673,Open
7,36.6959,-120.79808,Open
