"","rii_calc_shrub","rii_calc_triangle","rii_calc_square"
"1",-0.0157904409166089,0.00357766869123891,0.00238103502134604
"2",-0.00251388482899733,-0.00251388482899733,-0.00124805675373864
"3",-0.00254479356011418,-0.00127448946323244,0.00126386743434916
"4",-0.0103391982586613,-0.0124281462295231,-0.018805372963704
"5",-0.020202357498247,-0.0119907254057636,-0.0181398087155505
"6",-0.0409504304696826,-0.0115256922960839,-0.021692118625499
"7",0.0071754597253287,0.00539378700624547,0.00181118866887813
"8",-0.0247403816225088,-0.0163333270968587,-0.0315903415403022
"9",0.0117590801399787,0.00983285239832307,0.0117590801399787
"10",-0.00484528417976261,-0.00241678707977955,-0.00241678707977955
"11",0.0208007771254804,0.0114800405052497,0.00577848773009425
"12",-0.00314289326806711,0.0123243820024898,0.00156407306198763
"13",0.0575477813009127,0.0372239521815383,0.0127629900813858
"14",0.070993509735397,0.0409056405738972,0.0330401262270765
"15",NA,0.00431683565907036,-0.0392141453831041
"16",NA,0.0266689565494737,0.00431683565907036
"17",NA,0,-0.00569838324940368
"18",NA,0.0275468372859277,0.0172300305881443
"19",NA,0.0174509917980339,-0.00254479356011418
"20",NA,0.00249510408355693,0.00124185712107012
"21",NA,0,-0.00796966032758056
"22",NA,0,-0.00918225765114486
"23",NA,0.0389001979866708,0.00338316513894109
"24",NA,0.00658415347146994,-0.0120613949265437
"25",NA,NA,NA
"26",NA,NA,NA
"27",NA,NA,NA
"28",NA,NA,NA
"29",NA,NA,NA
"30",NA,NA,NA
"31",NA,NA,NA
"32",NA,NA,NA
"33",NA,NA,NA
"34",NA,NA,NA
